myneta_id,name,constituency,district,party,age,education,criminal_cases,criminal_details,movable_self,movable_spouse,movable_dependents,movable_total,immovable_self,immovable_spouse,immovable_dependents,immovable_total,total_assets,liabilities,affidavit_url
1,G Vijayakumar,AMBATTUR,THIRUVALLUR,IND,63,8th Pass,0,,637669,203618,0,841287,100000,600000,0,700000,1541287,0,https://myneta.info/TamilNadu2021/candidate.php?candidate_id=1
2,P Dhanraj,AMBATTUR,THIRUVALLUR,IND,66,8th Pass,0,,133031,480500,161000,774531,1200000,1200000,0,2400000,3174531,0,https://myneta.info/TamilNadu2021/candidate.php?candidate_id=2
3,S.Sakthivel,ARANI,TIRUVANNAMALAI,IND,33,10th Pass,0,,50000,0,576009,617900,0,0,4200000,4200000,4817900,0,https://myneta.info/TamilNadu2021/candidate.php?candidate_id=3
4,Sankar D,ATHOOR,DINDIGUL,IND,38,10th Pass,0,,189750,37000,0,226750,201000,0,0,201000,427750,0,https://myneta.info/TamilNadu2021/candidate.php?candidate_id=4
5,Chandrasekar.A,AVADI,THIRUVALLUR,IND,39,12th Pass,0,,30000,25000,0,55000,0,0,0,0,55000,0,https://myneta.info/TamilNadu2021/candidate.php?candidate_id=5
6,O.Panneerselvam,BODINAYAKKANUR,THENI,AIADMK,71,Graduate,0,,6119162,45752415,0,51871577,0,26375106,0,26375106,78246683,27245157,https://myneta.info/TamilNadu2021/candidate.php?candidate_id=6
7,S. Balamurugan,CHIDAMBARAM,CUDDALORE,IND,39,Others,0,,449000,0,0,449000,484500,0,0,484500,933500,769284,https://myneta.info/TamilNadu2021/candidate.php?candidate_id=7
8,Maharishi Mandharacsalam,COIMBATORE NORTH,COIMBATORE,IND,50,8th Pass,0,,1300000,1300000,105000,2705000,11100000,0,0,11100000,13805000,500000,https://myneta.info/TamilNadu2021/candidate.php?candidate_id=8
9,M.C.Sampath,CUDDALORE,CUDDALORE,AIADMK,62,Graduate,0,,4840077,6727926,27205409,38773412,0,38920000,53465250,92385250,131158662,7432574,https://myneta.info/TamilNadu2021/candidate.php?candidate_id=9
10,Sreenivasan.C,DINDIGUL,DINDIGUL,AIADMK,72,Post Graduate,0,,4356290,4692338,0,9048628,0,68491360,0,68491360,77539988,0,https://myneta.info/TamilNadu2021/candidate.php?candidate_id=10
11,Marimuthu.P,DR.RADHAKRISHNAN NAGAR,CHENNAI,IND,65,5th Pass,0,,123000,125000,137400,385400,4845000,0,0,4845000,5230400,0,https://myneta.info/TamilNadu2021/candidate.php?candidate_id=11
12,Venugopal.D,DR.RADHAKRISHNAN NAGAR,CHENNAI,SHS,35,10th Pass,2,"147, 148, 294B, 341, 324, 506(II); 341, 336, 290, 143, 188",334880,174200,0,509080,0,0,0,0,509080,0,https://myneta.info/TamilNadu2021/candidate.php?candidate_id=12
13,Sivakumar.S,DR.RADHAKRISHNAN NAGAR,CHENNAI,C,31,Others,0,,26488,0,0,26488,0,0,0,0,26488,0,https://myneta.info/TamilNadu2021/candidate.php?candidate_id=13
14,Dr.K.Padmarajan,EDAPPADI,SALEM,IND,60,Post Graduate,0,,90651,0,0,90651,1400000,0,0,1400000,1490651,0,https://myneta.info/TamilNadu2021/candidate.php?candidate_id=14
15,Agni Sriramachandran. N,EDAPPADI,SALEM,IND,40,10th Pass,0,,600000,0,0,600000,0,0,0,0,600000,0,https://myneta.info/TamilNadu2021/candidate.php?candidate_id=15
16,L. Kathiresan,EDAPPADI,SALEM,IND,48,Post Graduate,0,,427600,350432,0,778032,0,1000000,0,1000000,1778032,0,https://myneta.info/TamilNadu2021/candidate.php?candidate_id=16
17,Immanuvel.R,KANGAYAM,TIRUPPUR,IND,35,12th Pass,0,,49100,10000,0,59100,0,0,0,0,59100,0,https://myneta.info/TamilNadu2021/candidate.php?candidate_id=17
18,Sukumaran.N,KANGAYAM,TIRUPPUR,IND,64,5th Pass,0,,175000,152000,98000,425000,0,0,0,0,425000,0,https://myneta.info/TamilNadu2021/candidate.php?candidate_id=18
19,Shanmugam.N,KARUR,KARUR,Samaniya Makkal Nala Katchi,50,Graduate Professional,2,"294b, 447, 353, 506(i); 147, 148, 341, 294b, 324, 506(ii), 379",3193256,1086500,207500,4487256,7000000,0,0,7000000,11487256,1076000,https://myneta.info/TamilNadu2021/candidate.php?candidate_id=19
21,Rajkumar Poliah,KOVILPATTI,THOOTHUKUDI,Universal Brotherhood Movement,37,Graduate,0,,400500,70000,0,470500,0,0,0,0,470500,0,https://myneta.info/TamilNadu2021/candidate.php?candidate_id=21
22,"Pugalenthi, Dr.S.",KUNNAM,PERAMBALUR,IND,58,Graduate,0,,438000,0,0,438000,0,500000,0,500000,938000,0,https://myneta.info/TamilNadu2021/candidate.php?candidate_id=22
23,S.Kandasamy,VILLIVAKKAM,CHENNAI,IND,56,10th Pass,0,,70000,0,0,70000,0,0,0,0,70000,0,https://myneta.info/TamilNadu2021/candidate.php?candidate_id=23
24,A . Ajith Kumar,VILLIVAKKAM,CHENNAI,IND,26,Post Graduate,0,,2468977,0,0,2468977,150000,0,0,150000,2618977,699910,https://myneta.info/TamilNadu2021/candidate.php?candidate_id=24
25,Naseer K,VELLORE,VELLORE,IND,42,10th Pass,0,,40000,30000,0,70000,0,0,0,0,70000,0,https://myneta.info/TamilNadu2021/candidate.php?candidate_id=25
28,A Nakkeeran,TIRUVANNAMALAI,TIRUVANNAMALAI,IND,46,5th Pass,0,,41500,80000,0,121500,0,0,0,0,121500,48000,https://myneta.info/TamilNadu2021/candidate.php?candidate_id=28
29,S K Selvam,TIRUVANNAMALAI,TIRUVANNAMALAI,Veerath Thiyagi Viswanathadoss Thozhilalarkal,51,10th Pass,0,,674870,0,0,674870,2000000,0,0,2000000,2674870,0,https://myneta.info/TamilNadu2021/candidate.php?candidate_id=29
30,Anbubagurudeen N,TIRUVADANAI,RAMANATHAPURAM,NCP,65,5th Pass,0,,42500,500000,0,542500,100000,500000,0,600000,1142500,0,https://myneta.info/TamilNadu2021/candidate.php?candidate_id=30
31,Senthilkumar.V,TIRUPPUR NORTH,TIRUPPUR,Anna Puratchi Thalaivar Amma Dravida Munnetra Kazhagam,48,Graduate,0,,1649707,2820031,0,4469738,14500000,5400000,0,19900000,24369738,0,https://myneta.info/TamilNadu2021/candidate.php?candidate_id=31
32,Manithan,TIRUPATTUR,TIRUPATHUR,IND,53,Post Graduate,0,,80000,0,0,80000,0,0,0,0,80000,0,https://myneta.info/TamilNadu2021/candidate.php?candidate_id=32
34,Nainar Nagenthran,TIRUNELVELI,TIRUNELVELI,BJP,60,Post Graduate,1,"153A, 152, 504, 505(2), 500, 506(1)",106238104,68206470,626500,175071074,53594608,39342200,0,92936808,268007882,45745502,https://myneta.info/TamilNadu2021/candidate.php?candidate_id=34
37,Gobalakrishnan M.,MELUR,MADURAI,IND,43,10th Pass,1,"506(2), 307",221000,0,0,221000,20000000,0,200000,20200000,20421000,1188000,https://myneta.info/TamilNadu2021/candidate.php?candidate_id=37
38,Dr.Padmarajan.K,METTUR,SALEM,IND,60,Post Graduate,0,,90651,0,0,90651,1400000,0,0,1400000,1490651,0,https://myneta.info/TamilNadu2021/candidate.php?candidate_id=38
39,Banupriya.P,METTUR,SALEM,Ganasangam Party of India,25,Graduate,0,,107700,0,0,107700,0,0,0,0,107700,40502,https://myneta.info/TamilNadu2021/candidate.php?candidate_id=39
40,Govanam Thangavel.K.S,MODAKKURICHI,ERODE,IND,62,8th Pass,0,,103500,0,0,103500,1150000,0,0,1150000,1253500,303000,https://myneta.info/TamilNadu2021/candidate.php?candidate_id=40
42,Ramesh T,NAMAKKAL,NAMAKKAL,Ahimsa Socialist Party,40,Graduate,0,,438000,1148500,539456,2125956,500000,0,4500000,5000000,7125956,0,https://myneta.info/TamilNadu2021/candidate.php?candidate_id=42
44,Serma Selvaraj,PALLAVARAM,CHENGALPATTU,Desiya Makkal Sakthi Katchi,49,Post Graduate,0,,7722788,5806101,1237090,14765979,4500000,300000,0,4800000,19565979,0,https://myneta.info/TamilNadu2021/candidate.php?candidate_id=44
45,Sebastin. J,PERAMBUR,CHENNAI,C,44,10th Pass,0,,1809,0,0,1809,0,0,0,0,1809,0,https://myneta.info/TamilNadu2021/candidate.php?candidate_id=45
47,M.Antony Rossary,RADHAPURAM,TIRUNELVELI,IND,49,Graduate,0,,10000,895779,0,905779,5500000,0,0,5500000,6405779,0,https://myneta.info/TamilNadu2021/candidate.php?candidate_id=47
48,M Ahamedshahjahan,SALEM NORTH,SALEM,MGR Makkal Katchi,51,Post Graduate,1,"188, 506(i)",400000,3000000,0,3400000,300000,0,1500000,1800000,5200000,160000,https://myneta.info/TamilNadu2021/candidate.php?candidate_id=48
49,Vaathiar C Murugan,SALEM NORTH,SALEM,Ambedkarite Party of India,42,8th Pass,0,,49000,173486,0,222486,500000,0,0,500000,722486,900000,https://myneta.info/TamilNadu2021/candidate.php?candidate_id=49
50,Karthikeyan P,SULUR,COIMBATORE,IND,49,12th Pass,0,,253000,643000,621000,1517000,6700000,2675000,29700000,39075000,40592000,386000,https://myneta.info/TamilNadu2021/candidate.php?candidate_id=50
51,Santhosh M.,THANJAVUR,THANJAVUR,IND,42,12th Pass,0,,175000,0,0,175000,0,0,0,0,175000,0,https://myneta.info/TamilNadu2021/candidate.php?candidate_id=51
52,Rajanbabu P,THIRUMANGALAM,MADURAI,IND,29,Graduate,0,,95000,0,0,95000,0,0,0,0,95000,0,https://myneta.info/TamilNadu2021/candidate.php?candidate_id=52
53,Amanullah R.S.A.,THIRUVAUR,THIRUVARUR,IND,58,8th Pass,0,,40000,655000,0,695000,2500000,3000000,0,5500000,6195000,0,https://myneta.info/TamilNadu2021/candidate.php?candidate_id=53
54,B.Zakir Hussain,THIRUVOTTIYUR,THIRUVALLUR,IND,47,Graduate Professional,0,,95141,656633,0,751774,0,4000000,0,4000000,4751774,560000,https://myneta.info/TamilNadu2021/candidate.php?candidate_id=54
55,"Abinaya, B.",SRIVILLIPUTHUR (SC),VIRUDHUNAGAR,Naam Tamilar Katchi,27,Post Graduate,0,,63500,125000,0,188500,0,320000,0,320000,508500,0,https://myneta.info/TamilNadu2021/candidate.php?candidate_id=55
56,"Ramchandran, M.",ORATHANADU,THANJAVUR,DMK,76,Graduate Professional,2,"143, 341, 353, 269; 143, 341, 188",378158,640416,0,1018574,17577000,0,0,17577000,18595574,0,https://myneta.info/TamilNadu2021/candidate.php?candidate_id=56
57,Anish Fathima. A,CUMBUM,THENI,Naam Tamilar Katchi,38,12th Pass,0,,1394443,1054467,0,2448910,4521000,0,0,4521000,6969910,900000,https://myneta.info/TamilNadu2021/candidate.php?candidate_id=57
58,Chinnappan P,VILATHIKULAM,THOOTHUKUDI,AIADMK,51,10th Pass,1,"143, 269, 270, 283",5900000,3108000,50000,9058000,5000000,5500000,0,10500000,19558000,1920000,https://myneta.info/TamilNadu2021/candidate.php?candidate_id=58
59,Anburose.D,DINDIGUL,DINDIGUL,IND,49,12th Pass,0,,490723,2994844,92667,3578234,35000000,100000,0,35100000,38678234,0,https://myneta.info/TamilNadu2021/candidate.php?candidate_id=59
60,Simon Justin A,ATHOOR,DINDIGUL,Naam Tamilar Katchi,39,Post Graduate,0,,21200,0,187000,208200,0,0,1500000,1500000,1708200,0,https://myneta.info/TamilNadu2021/candidate.php?candidate_id=60
61,Shrirathna,EDAPPADI,SALEM,Naam Tamilar Katchi,33,Post Graduate,0,,279411,151848,0,431259,0,0,0,0,431259,0,https://myneta.info/TamilNadu2021/candidate.php?candidate_id=61
62,M.Perm Chandar,BODINAYAKKANUR,THENI,Naam Tamilar Katchi,38,Post Graduate,1,"143, 341",3888869,3892389,69705,7850963,3000000,300000,0,3300000,11150963,3432055,https://myneta.info/TamilNadu2021/candidate.php?candidate_id=62
63,M Rajbabu,ANAIKATTU,VELLORE,IND,36,12th Pass,0,,11132,65196,0,76328,0,0,0,0,76328,0,https://myneta.info/TamilNadu2021/candidate.php?candidate_id=63
