myneta_id,name,constituency,party,age,education,criminal_cases,criminal_details,movable_total,immovable_total,total_assets,liabilities,affidavit_url
1,Y.G.Mahalakshmi,ALANDUR,Naam Tamilar Katchi,33,Graduate,0,,969000,0,969000,552960,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=1
2,R.Rajaram,ALANGUDI,Naam Tamilar Katchi,46,Graduate Professional,2,BNS; BNS,3284700,5000000,8284700,2636000,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=2
3,R Paulraj,ALANGULAM,Naam Tamilar Katchi,38,Graduate Professional,4,BNS; BNS; IPC; IPC,7810000,7850000,15660000,735000,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=3
4,Dr.V.Sivasankaran,AMBASAMUDRAM,Naam Tamilar Katchi,38,Doctorate,1,IPC,6735000,8000000,14735000,1030000,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=4
5,Afshia Nasrin. S,AMBUR,Naam Tamilar Katchi,42,Post Graduate,0,,4252667,0,4252667,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=5
6,M.Ravikumar,ANAIKATTU,Naam Tamilar Katchi,29,Others,0,,1022400,0,1022400,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=6
7,Aalangattur Anandhi,ANTHIYUR,Naam Tamilar Katchi,40,Post Graduate,0,,1537200,300000,1837200,580000,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=7
8,S. Ravi,ARAKKONAM (SC),AIADMK,62,Graduate Professional,3,BNS; BNS; BNS,8030861,4913000,12943861,6970202,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=8
9,K. Rajkumar,ARAKKONAM (SC),Naam Tamilar Katchi,29,10th Pass,0,,3923146,3700000,7623146,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=9
10,Muthulakshmi. S,ARANTHANGI,Naam Tamilar Katchi,34,Graduate Professional,1,BNS,4246500,2200000,6446500,1975000,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=10
11,Naren S,ARAVAKURICHI,Naam Tamilar Katchi,28,Post Graduate,0,,2585000,1500000,4085000,260000,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=11
12,Archana Narasimman,ARCOT,Naam Tamilar Katchi,32,Post Graduate,0,,5848000,6020000,11868000,3970000,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=12
13,Pugazhendhi D,ARIYALUR,Naam Tamilar Katchi,26,Others,1,BNS,186000,0,186000,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=13
14,Manimaran. G,ARUPPUKOTTAI,Naam Tamilar Katchi,41,Others,0,,3462000,1500000,4962000,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=14
15,Dr. A. Simon Justin,ATHOOR,Naam Tamilar Katchi,44,Doctorate,6,IPC; BNS; IPC; BNS; IPC; BNS,567764,3500000,4067764,350000,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=15
16,Monisha Chinnadurai,ATTUR (SC),Naam Tamilar Katchi,36,Graduate Professional,0,,6614000,12486000,19100000,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=16
17,Punitha Shanmugam,AVADI,Naam Tamilar Katchi,32,Doctorate,0,,1238995,0,1238995,133000,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=17
18,Menaka. V,AVANASHI (SC),Naam Tamilar Katchi,28,Graduate,0,,591938,0,591938,63000,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=18
19,Kavinkumar. S,BARGUR,Naam Tamilar Katchi,31,Graduate Professional,0,,5410612,7443000,12853612,4156000,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=19
20,S.Soundarya,BHAVANISAGAR (SC),Naam Tamilar Katchi,26,12th Pass,0,,711760,0,711760,135010,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=20
21,Sumathi . S,BHUVANAGIRI,Naam Tamilar Katchi,52,Post Graduate,0,,7805000,0,7805000,3500000,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=21
22,Kalaiarasu.S,BODINAYAKKANUR,Naam Tamilar Katchi,61,Doctorate,0,,25682882,19100000,44782882,6394063,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=22
23,Amutha.N,CHENGALPATTU,Naam Tamilar Katchi,56,Graduate,0,,2363000,0,2363000,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=23
24,J.Shoba,CHENGAM (SC),Naam Tamilar Katchi,31,Post Graduate,0,,3150000,120000,3270000,810000,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=24
25,Tamilselvan. M,CHEYYAR,Naam Tamilar Katchi,25,Graduate Professional,0,,742300,0,742300,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=25
26,Swathilakshmi Sekar,CHEYYUR (SC),Naam Tamilar Katchi,31,Graduate,0,,1246200,0,1246200,2233634,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=26
27,Thamizh,CHIDAMBARAM,Naam Tamilar Katchi,35,Post Graduate,2,IPC; IPC,801000,0,801000,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=27
28,Narmadha. G.,COIMBATORE (NORTH),Naam Tamilar Katchi,44,Post Graduate,0,,9184351,30500000,39684351,1750000,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=28
29,Perarivalan. V,COIMBATORE (SOUTH),Naam Tamilar Katchi,25,10th Pass,1,IPC,58134,0,58134,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=29
30,Ancy Shoba Rani. L,COLACHAL,Naam Tamilar Katchi,38,Post Graduate,4,BNS; BNS; BNS; BNS,27337023,35030000,62367023,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=30
31,K. Deenu,COONOOR,Naam Tamilar Katchi,37,Graduate,0,,1016992,0,1016992,857126,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=31
32,S.Sarasu,CUDDALORE,Naam Tamilar Katchi,40,Post Graduate,0,,1725000,15000000,16725000,810000,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=32
33,Anbuselvi A,CUMBUM,Naam Tamilar Katchi,57,Post Graduate,0,,4592033,5000000,9592033,213500,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=33
34,Shanthalakshmi. K.,DHARMAPURI,Naam Tamilar Katchi,50,Post Graduate,0,,2034015,2400000,4434015,160000,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=34
35,Mutharasi. S,DINDIGUL,Naam Tamilar Katchi,35,Post Graduate,0,,524344,15000000,15524344,700000,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=35
36,N. Marie Wilson,DR.RADHAKRISHNAN NAGAR,Tamilaga Vettri Kazhagam,46,Doctorate,2,IPC; IPC,41872580,51999000,93871580,40648069,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=36
37,Vennila.T,DR.RADHAKRISHNAN NAGAR,Naam Tamilar Katchi,42,Post Graduate,0,,13191000,0,13191000,1691620,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=37
38,Priyadharshini. A,EDAPPADI,Naam Tamilar Katchi,37,Post Graduate,0,,4889363,0,4889363,526236,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=38
39,Saranya Imran,EGMORE (SC),Naam Tamilar Katchi,35,Graduate,0,,1867700,0,1867700,204000,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=39
40,S.Thandavamoorthy,ERODE (EAST),Naam Tamilar Katchi,42,Graduate,1,IPC,7498500,25500000,32998500,2922000,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=40
41,N. Vijay,ERODE (WEST),Naam Tamilar Katchi,40,Post Graduate,1,BNS,668000,1900000,2568000,1528681,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=41
42,Nathiya,GANDARVAKOTTAI (SC),Naam Tamilar Katchi,35,Post Graduate,1,BNS,772620,0,772620,520000,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=42
